ID,Place Name,Latitude,Longitude
1638556981,"Cité Saïd Bellil, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7567423,5.0700241
1638557036,"Impasse Rabah Issaad, Cité Frères Mebroukine, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7535367,5.0711302
1638557129,"Boulevard Boudechicha Tahar, Résidence universitaire 17 Octobre 1961, Cité 200 Logements, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7427083,5.0478217
1638567294,"Route Tala Markha, Igil Oueemriw, Ennator, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.768888,5.0301543
1638567295,"Route Smina, Résidence universitaire 17 Octobre 1961, Smina Oufella, Ennator, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.751399,5.0543471
1638567297,"Boulevard Boualem Ouchen, Lḥuma Munjen, Amimoune, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7592789,5.0870279
1638567364,"Igil Oueemriw, Ennator, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7626257,5.0351783
1638567445,"Smina Oufella, Ennator, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.755036,5.0511682
1638567607,"Targa Ouzemour, Ennator, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7551432,5.0235897
1638580489,"Boulevard des Frères Bouaouina, Lḥuma Munjen, Amimoune, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.757133,5.0852752
1639999026,"Cité Sidi Bouali, Amimoune, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7595354,5.0905636
1639999450,"Chemin des Oliviers, Lḥuma Munjen, Amimoune, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7553385,5.0911444
1640041042,"Résidence universitaire 1000 lits, Cité Zerrara, Béjaïa, Daïra Béjaïa, Béjaïa, 06000, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر",36.7524696,5.0583235
